day,record_count
2021-06-18,1682
2021-06-17,1706
2021-06-16,1563
2021-06-15,1128
2021-06-14,670
2021-06-13,716
2021-06-12,704
2021-06-11,570
2021-06-10,1463
2021-06-09,888
2021-06-08,1082
2021-06-07,1519
2021-06-06,2638
2021-06-05,2072
2021-06-04,2211
2021-06-03,1269
2021-06-02,2431
2021-06-01,4345
2021-05-31,1346
2021-05-30,1974
2021-05-29,1762
2021-05-28,1287
2021-05-27,1479
2021-05-26,1402
2021-05-25,1467
2021-05-24,2013
2021-05-23,2969
2021-05-22,2630
2021-05-21,1791
2021-05-20,1517
2021-05-19,1600
2021-05-18,1847
2021-05-17,2317
2021-05-16,4602
2021-05-15,3522
2021-05-14,2505
2021-05-13,3510
2021-05-12,2676
2021-05-11,3179
2021-05-10,3506
2021-05-09,4766
2021-05-08,4513
2021-05-07,2794
2021-05-06,3211
2021-05-05,2133
2021-05-04,2405
2021-05-03,2543
2021-05-02,3067
2021-05-01,3089
2021-04-30,1635
2021-04-29,1457
2021-04-28,1273
2021-04-27,1639
2021-04-26,1459
2021-04-25,2087
2021-04-24,2125
2021-04-23,1922
2021-04-22,2027
2021-04-21,1389
2021-04-20,2174
2021-04-19,2341
2021-04-18,3326
2021-04-17,3056
2021-04-16,3144
2021-04-15,1874
2021-04-14,1952
2021-04-13,6668
2021-04-12,3178
2021-04-11,5007
2021-04-10,3212
2021-04-09,2296
2021-04-08,2137
2021-04-07,2270
2021-04-06,2403
2021-04-05,4142
2021-04-04,3160
2021-04-03,2977
2021-04-02,2083
2021-04-01,1633
2021-03-31,1573
2021-03-30,1794
2021-03-29,1577
2021-03-28,2234
2021-03-27,1946
2021-03-26,1808
2021-03-25,2125
2021-03-24,2127
2021-03-23,2375
2021-03-22,2477
2021-03-21,3467
2021-03-20,2360
2021-03-19,1924
2021-03-18,2764
2021-03-17,2626
2021-03-16,3044
2021-03-15,3252
2021-03-14,5626
2021-03-13,5720
2021-03-12,4293
2021-03-11,2770
2021-03-10,2811
2021-03-09,2159
2021-03-08,1956
2021-03-07,4527
2021-03-06,4451
2021-03-05,3581
2021-03-04,2710
2021-03-03,2119
2021-03-02,2477
2021-03-01,2431
2021-02-28,4604
2021-02-27,2902
2021-02-26,2496
2021-02-25,2071
2021-02-24,1705
2021-02-23,2200
2021-02-22,2556
2021-02-21,3230
2021-02-20,3149
2021-02-19,2244
2021-02-18,2039
2021-02-17,2081
2021-02-16,2633
2021-02-15,2922
2021-02-14,5126
2021-02-13,5018
2021-02-12,3524
2021-02-11,2752
2021-02-10,3671
2021-02-09,4826
2021-02-08,3474
2021-02-07,4870
2021-02-06,4070
2021-02-05,2812
2021-02-04,2902
2021-02-03,3258
2021-02-02,3320
2021-02-01,3252
2021-01-31,5545
2021-01-30,4380
2021-01-29,3026
2021-01-28,3329
2021-01-27,3011
2021-01-26,3490
2021-01-25,3283
2021-01-24,6368
2021-01-23,5199
2021-01-22,3245
2021-01-21,2905
2021-01-20,2545
2021-01-19,3239
2021-01-18,2954
2021-01-17,6081
2021-01-16,4082
2021-01-15,2444
2021-01-14,2481
2021-01-13,2299
2021-01-12,1835
2021-01-11,1600
2021-01-10,3786
2021-01-09,3260
2021-01-08,1618
2021-01-07,1620
2021-01-06,1810
2021-01-05,1675
2021-01-04,1752
2021-01-03,2976
2021-01-02,2503
2021-01-01,2186
2020-12-31,906
2020-12-30,1662
2020-12-29,2119
2020-12-28,2288
2020-12-27,3128
2020-12-26,2056
2020-12-25,1000
2020-12-24,554
2020-12-23,675
2020-12-22,755
2020-12-21,733
2020-12-20,1529
2020-12-19,1433
2020-12-18,919
2020-12-17,985
2020-12-16,1068
2020-12-15,1216
2020-12-14,1308
2020-12-13,1587
2020-12-12,957
2020-12-11,753
2020-12-10,480
2020-12-09,619
2020-12-08,1245
2020-12-07,839
2020-12-06,1507
2020-12-05,1116
2020-12-04,993
2020-12-03,1090
2020-12-02,1271
2020-12-01,1563
2020-11-30,1207
2020-11-29,2253
2020-11-28,2123
2020-11-27,1581
2020-11-26,1619
2020-11-25,1656
2020-11-24,2012
2020-11-23,2979
2020-11-22,6664
2020-11-21,4706
2020-11-20,3387
2020-11-19,3234
2020-11-18,2906
2020-11-17,2619
2020-11-16,3826
2020-11-15,4771
2020-11-14,3339
2020-11-13,3452
2020-11-12,2791
2020-11-11,2954
2020-11-10,2214
2020-11-09,3047
2020-11-08,5211
2020-11-07,4073
2020-11-06,2498
2020-11-05,1889
2020-11-04,1916
2020-11-03,2162
2020-11-02,2731
2020-11-01,5748
2020-10-31,3522
2020-10-30,3125
2020-10-29,2063
2020-10-28,2812
